Country Name,Year,Gender,Age Group,Value
France,2018,Female,15–19,2025212.0
France,2018,Male,15–19,2132753.0
France,2018,Female,20–24,1903538.0
France,2018,Male,20–24,1965425.0
France,2018,Female,25–29,1929663.0
France,2018,Male,25–29,1919363.0
France,2018,Female,30–34,2037507.0
France,2018,Male,30–34,1955372.0
France,2018,Female,35–39,2134953.0
France,2018,Male,35–39,2067159.0
France,2018,Female,40–44,2114980.0
France,2018,Male,40–44,2109929.0
France,2018,Female,45–49,2300934.0
France,2018,Male,45–49,2230107.0
France,2018,Female,50–54,2277720.0
France,2018,Male,50–54,2176952.0
France,2018,Female,55–59,2238462.0
France,2018,Male,55–59,2108087.0
France,2018,Female,60–64,2159763.0
France,2018,Male,60–64,1970776.0
Germany,2018,Female,15–19,1938048.0
Germany,2018,Male,15–19,2112454.0
Germany,2018,Female,20–24,2195296.0
Germany,2018,Male,20–24,2418596.0
Germany,2018,Female,25–29,2523000.0
Germany,2018,Male,25–29,2721480.0
Germany,2018,Female,30–34,2597708.0
Germany,2018,Male,30–34,2747293.0
Germany,2018,Female,35–39,2567917.0
Germany,2018,Male,35–39,2631584.0
Germany,2018,Female,40–44,2396824.0
Germany,2018,Male,40–44,2434087.0
Germany,2018,Female,45–49,2860612.0
Germany,2018,Male,45–49,2910440.0
Germany,2018,Female,50–54,3422957.0
Germany,2018,Male,50–54,3490940.0
Germany,2018,Female,55–59,3246157.0
Germany,2018,Male,55–59,3241741.0
Germany,2018,Female,60–64,2764038.0
Germany,2018,Male,60–64,2657326.0
Italy,2018,Female,15–19,1389128.0
Italy,2018,Male,15–19,1508748.0
Italy,2018,Female,20–24,1423442.0
Italy,2018,Male,20–24,1569187.0
Italy,2018,Female,25–29,1602388.0
Italy,2018,Male,25–29,1677058.0
Italy,2018,Female,30–34,1647428.0
Italy,2018,Male,30–34,1676022.0
Italy,2018,Female,35–39,1869885.0
Italy,2018,Male,35–39,1892516.0
Italy,2018,Female,40–44,2233435.0
Italy,2018,Male,40–44,2232720.0
Italy,2018,Female,45–49,2435514.0
Italy,2018,Male,45–49,2390019.0
Italy,2018,Female,50–54,2485862.0
Italy,2018,Male,50–54,2416097.0
Italy,2018,Female,55–59,2249252.0
Italy,2018,Male,55–59,2146214.0
Italy,2018,Female,60–64,1969035.0
Italy,2018,Male,60–64,1841652.0
Netherlands,2018,Female,15–19,514322.0
Netherlands,2018,Male,15–19,539708.0
Netherlands,2018,Female,20–24,533732.0
Netherlands,2018,Male,20–24,550452.0
Netherlands,2018,Female,25–29,553359.0
Netherlands,2018,Male,25–29,569170.0
Netherlands,2018,Female,30–34,531256.0
Netherlands,2018,Male,30–34,540532.0
Netherlands,2018,Female,35–39,515295.0
Netherlands,2018,Male,35–39,516066.0
Netherlands,2018,Female,40–44,515786.0
Netherlands,2018,Male,40–44,510549.0
Netherlands,2018,Female,45–49,626565.0
Netherlands,2018,Male,45–49,624694.0
Netherlands,2018,Female,50–54,642438.0
Netherlands,2018,Male,50–54,646256.0
Netherlands,2018,Female,55–59,617154.0
Netherlands,2018,Male,55–59,614040.0
Netherlands,2018,Female,60–64,544977.0
Netherlands,2018,Male,60–64,537073.0
Norway,2018,Female,15–19,155564.0
Norway,2018,Male,15–19,165672.0
Norway,2018,Female,20–24,165150.0
Norway,2018,Male,20–24,176657.0
Norway,2018,Female,25–29,181803.0
Norway,2018,Male,25–29,189580.0
Norway,2018,Female,30–34,176707.0
Norway,2018,Male,30–34,184970.0
Norway,2018,Female,35–39,170309.0
Norway,2018,Male,35–39,180901.0
Norway,2018,Female,40–44,171339.0
Norway,2018,Male,40–44,180978.0
Norway,2018,Female,45–49,184920.0
Norway,2018,Male,45–49,194640.0
Norway,2018,Female,50–54,176281.0
Norway,2018,Male,50–54,186017.0
Norway,2018,Female,55–59,158674.0
Norway,2018,Male,55–59,165272.0
Norway,2018,Female,60–64,150384.0
Norway,2018,Male,60–64,151581.0
Poland,2018,Female,15–19,892409.0
Poland,2018,Male,15–19,933921.0
Poland,2018,Female,20–24,1075763.0
Poland,2018,Male,20–24,1126896.0
Poland,2018,Female,25–29,1294433.0
Poland,2018,Male,25–29,1353169.0
Poland,2018,Female,30–34,1513146.0
Poland,2018,Male,30–34,1574735.0
Poland,2018,Female,35–39,1559000.0
Poland,2018,Male,35–39,1614143.0
Poland,2018,Female,40–44,1424655.0
Poland,2018,Male,40–44,1462667.0
Poland,2018,Female,45–49,1208949.0
